release_year,Canada,France,India,Japan,South Korea,Spain,United Kingdom,United States
1942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
1945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1955,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1959,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1960,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
1961,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1962,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0
1963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1964,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
1966,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1968,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
1969,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1971,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
1972,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0
1973,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0
1974,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0
1975,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0
1976,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0
1977,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0
1978,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
1979,1.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0
1980,1.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0
1981,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0
1982,0.0,1.0,6.0,0.0,0.0,0.0,2.0,3.0
1983,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0
1984,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0
1985,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0
1986,0.0,0.0,2.0,1.0,0.0,0.0,2.0,9.0
1987,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0
1988,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0
1989,1.0,2.0,2.0,0.0,0.0,0.0,2.0,10.0
1990,0.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0
1991,0.0,1.0,1.0,0.0,0.0,0.0,2.0,11.0
1992,0.0,2.0,1.0,2.0,0.0,0.0,6.0,13.0
1993,1.0,4.0,4.0,1.0,0.0,1.0,4.0,19.0
1994,0.0,2.0,5.0,0.0,0.0,0.0,3.0,11.0
1995,0.0,0.0,5.0,1.0,0.0,0.0,1.0,16.0
1996,0.0,1.0,3.0,1.0,0.0,0.0,1.0,17.0
1997,3.0,3.0,3.0,3.0,0.0,0.0,3.0,30.0
1998,2.0,2.0,6.0,3.0,0.0,0.0,3.0,21.0
1999,1.0,3.0,6.0,2.0,0.0,0.0,3.0,23.0
2000,3.0,3.0,7.0,2.0,0.0,0.0,4.0,26.0
2001,2.0,0.0,8.0,2.0,0.0,1.0,5.0,29.0
2002,3.0,6.0,10.0,4.0,0.0,0.0,5.0,29.0
2003,2.0,4.0,13.0,5.0,0.0,2.0,6.0,37.0
2004,4.0,2.0,15.0,3.0,1.0,2.0,4.0,26.0
2005,2.0,3.0,20.0,5.0,0.0,0.0,11.0,43.0
2006,4.0,3.0,20.0,5.0,0.0,2.0,9.0,48.0
2007,6.0,2.0,17.0,3.0,0.0,0.0,10.0,47.0
2008,4.0,4.0,26.0,10.0,1.0,1.0,14.0,67.0
2009,9.0,9.0,28.0,5.0,4.0,2.0,19.0,72.0
2010,14.0,14.0,41.0,11.0,2.0,2.0,18.0,85.0
2011,15.0,12.0,33.0,10.0,1.0,3.0,22.0,85.0
2012,16.0,7.0,41.0,7.0,11.0,2.0,22.0,101.0
2013,8.0,16.0,58.0,11.0,6.0,6.0,29.0,112.0
2014,30.0,23.0,56.0,16.0,8.0,3.0,46.0,138.0
2015,36.0,33.0,70.0,16.0,16.0,16.0,66.0,210.0
2016,57.0,52.0,80.0,25.0,36.0,31.0,102.0,348.0
2017,58.0,40.0,111.0,37.0,33.0,33.0,101.0,442.0
2018,67.0,47.0,101.0,49.0,34.0,46.0,96.0,457.0
2019,44.0,49.0,93.0,36.0,27.0,32.0,68.0,428.0
2020,39.0,26.0,77.0,24.0,31.0,31.0,68.0,384.0
2021,12.0,13.0,35.0,15.0,20.0,16.0,36.0,173.0
