release_year,Action & Adventure,Comedies,Documentaries,Dramas,Independent Movies,International Movies,International TV Shows,TV Dramas
1942,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
1943,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1944,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1945,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
1946,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1947,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1954,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1955,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
1956,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1958,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
1959,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1960,2.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0
1961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1962,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0
1963,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1964,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1965,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1966,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1967,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0
1968,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1969,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
1970,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
1971,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0
1972,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0
1973,4.0,1.0,1.0,4.0,1.0,5.0,0.0,0.0
1974,0.0,4.0,0.0,3.0,2.0,2.0,1.0,0.0
1975,4.0,2.0,0.0,4.0,0.0,5.0,0.0,0.0
1976,4.0,3.0,0.0,4.0,0.0,3.0,0.0,0.0
1977,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0
1978,3.0,1.0,0.0,3.0,1.0,4.0,0.0,0.0
1979,3.0,3.0,1.0,3.0,0.0,4.0,0.0,0.0
1980,6.0,3.0,1.0,5.0,0.0,5.0,0.0,0.0
1981,4.0,5.0,0.0,4.0,0.0,5.0,0.0,0.0
1982,5.0,5.0,0.0,9.0,5.0,10.0,0.0,0.0
1983,4.0,1.0,0.0,6.0,2.0,8.0,0.0,0.0
1984,6.0,3.0,0.0,6.0,0.0,6.0,0.0,0.0
1985,2.0,5.0,0.0,3.0,1.0,7.0,0.0,0.0
1986,6.0,2.0,0.0,5.0,0.0,3.0,0.0,1.0
1987,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0
1988,3.0,6.0,1.0,7.0,1.0,4.0,0.0,1.0
1989,4.0,4.0,0.0,8.0,0.0,5.0,0.0,0.0
1990,7.0,6.0,2.0,10.0,1.0,5.0,0.0,1.0
1991,1.0,5.0,0.0,6.0,3.0,2.0,0.0,0.0
1992,6.0,5.0,0.0,6.0,2.0,5.0,0.0,0.0
1993,6.0,4.0,0.0,15.0,4.0,8.0,0.0,1.0
1994,8.0,7.0,2.0,9.0,0.0,7.0,0.0,0.0
1995,8.0,9.0,0.0,10.0,2.0,7.0,1.0,0.0
1996,3.0,12.0,0.0,8.0,1.0,5.0,0.0,0.0
1997,11.0,14.0,1.0,11.0,2.0,9.0,0.0,0.0
1998,5.0,16.0,3.0,14.0,4.0,8.0,1.0,0.0
1999,10.0,13.0,0.0,13.0,1.0,12.0,2.0,1.0
2000,9.0,16.0,1.0,13.0,1.0,9.0,0.0,0.0
2001,11.0,21.0,0.0,17.0,1.0,12.0,2.0,0.0
2002,15.0,11.0,3.0,21.0,4.0,18.0,4.0,4.0
2003,15.0,21.0,0.0,18.0,1.0,19.0,5.0,0.0
2004,17.0,22.0,1.0,20.0,4.0,29.0,5.0,1.0
2005,12.0,25.0,5.0,26.0,7.0,29.0,3.0,2.0
2006,11.0,35.0,3.0,36.0,7.0,41.0,6.0,2.0
2007,15.0,30.0,4.0,32.0,6.0,32.0,4.0,3.0
2008,24.0,43.0,5.0,49.0,10.0,47.0,11.0,4.0
2009,21.0,42.0,3.0,41.0,12.0,50.0,21.0,11.0
2010,29.0,52.0,8.0,66.0,14.0,75.0,22.0,13.0
2011,26.0,51.0,7.0,60.0,12.0,55.0,23.0,9.0
2012,29.0,61.0,11.0,66.0,25.0,80.0,36.0,17.0
2013,29.0,65.0,30.0,83.0,32.0,121.0,40.0,18.0
2014,28.0,79.0,31.0,104.0,35.0,127.0,47.0,22.0
2015,53.0,94.0,67.0,180.0,65.0,210.0,93.0,50.0
2016,80.0,150.0,137.0,265.0,101.0,305.0,133.0,73.0
2017,89.0,164.0,172.0,285.0,113.0,328.0,136.0,77.0
2018,81.0,178.0,120.0,304.0,131.0,340.0,190.0,109.0
2019,44.0,159.0,104.0,243.0,76.0,282.0,201.0,133.0
2020,46.0,133.0,77.0,195.0,46.0,239.0,214.0,127.0
2021,37.0,70.0,53.0,92.0,16.0,141.0,149.0,83.0
